dataset,partition,partition_name,kernel,timestamp,n,features,n_clusters,shape,density,dim_level,size_level,condition,source,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,fit_time_s,transform_time_s,kernel_time_s,total_time_s,fit_time_std,ari_per_sec,nmi_per_sec,phi_width,phi_ones_per_point_per_estimator,n_estimators,max_samples,n_runs
iris,anne,Voronoi (aNNE),ik,2026-05-25 17:14:37,150,4,3,spherical,uniform,low,small,1,sklearn,0.8439,0.0574,0.7445,0.9038,0.8361,0.0396,0.4688,0.1214,0.1974,0.7876,0.2237,1.0715,1.0616,3200,1.0,200,16,5
iris,anne,Voronoi (aNNE),idk,2026-05-25 17:14:37,150,4,3,spherical,uniform,low,small,1,sklearn,0.8439,0.0574,0.7445,0.9038,0.8361,0.0396,0.5309,0.1007,0.2277,0.8593,0.2198,0.9821,0.973,3200,1.0,200,16,5
iris,iforest,Axis-parallel (iForest),ik,2026-05-25 17:14:40,150,4,3,spherical,uniform,low,small,1,sklearn,0.7152,0.0154,0.6916,0.7323,0.7542,0.0208,1.005,0.1478,0.1881,1.3408,0.2468,0.5334,0.5625,12857,1.0,200,256,5
iris,iforest,Axis-parallel (iForest),idk,2026-05-25 17:14:40,150,4,3,spherical,uniform,low,small,1,sklearn,0.7152,0.0154,0.6916,0.7323,0.7542,0.0208,0.9669,0.169,0.1746,1.3105,0.2371,0.5458,0.5755,12857,1.0,200,256,5
wine,anne,Voronoi (aNNE),idk,2026-05-25 17:14:46,178,13,3,spherical,uniform,low,small,1,sklearn,0.8954,0.0068,0.8819,0.8992,0.8705,0.0104,0.3834,0.2596,0.267,0.91,0.0662,0.9839,0.9566,3200,1.0,200,16,5
wine,anne,Voronoi (aNNE),ik,2026-05-25 17:14:46,178,13,3,spherical,uniform,low,small,1,sklearn,0.8954,0.0068,0.8819,0.8992,0.8705,0.0104,0.3828,0.2626,0.2749,0.9202,0.0682,0.973,0.9459,3200,1.0,200,16,5
iris,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.7709,0.0385,0.7302,0.8176,0.7842,0.0175,4.5886,1.6396,1.5565,7.7847,1.8363,0.099,0.1007,3200,1.0871,200,16,5
iris,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.7738,0.0358,0.7445,0.8176,0.7881,0.0128,4.5922,1.6532,1.5536,7.799,1.8059,0.0992,0.1011,3200,1.0871,200,16,5
iris,inne,Hypersphere (iNNE),idk,2026-05-25 17:15:10,150,4,3,spherical,uniform,low,small,1,sklearn,0.8642,0.0554,0.7592,0.9222,0.8602,0.0353,4.6332,1.6536,1.5505,7.8373,1.7896,0.1103,0.1098,3200,0.6144,200,16,5
iris,inne,Hypersphere (iNNE),ik,2026-05-25 17:15:11,150,4,3,spherical,uniform,low,small,1,sklearn,0.8642,0.0554,0.7592,0.9222,0.8602,0.0353,4.659,1.6523,1.6128,7.924,1.8206,0.1091,0.1086,3200,0.6144,200,16,5
wine,iforest,Axis-parallel (iForest),ik,2026-05-25 17:15:18,178,13,3,spherical,uniform,low,small,1,sklearn,0.8865,0.0396,0.8148,0.9295,0.8629,0.0387,1.1236,0.1669,0.1764,1.4669,0.0679,0.6043,0.5882,11856,1.0,200,256,5
wine,iforest,Axis-parallel (iForest),idk,2026-05-25 17:15:19,178,13,3,spherical,uniform,low,small,1,sklearn,0.8865,0.0396,0.8148,0.9295,0.8629,0.0387,0.8495,0.1971,0.3875,1.4341,0.0353,0.6182,0.6017,11856,1.0,200,256,5
wine,inne,Hypersphere (iNNE),ik,2026-05-25 17:15:21,178,13,3,spherical,uniform,low,small,1,sklearn,0.7891,0.1352,0.5274,0.8992,0.8017,0.0893,3.1639,1.7404,1.9415,6.8458,0.3175,0.1153,0.1171,3200,0.5537,200,16,5
wine,inne,Hypersphere (iNNE),idk,2026-05-25 17:15:21,178,13,3,spherical,uniform,low,small,1,sklearn,0.7274,0.1589,0.5274,0.8992,0.7645,0.0994,3.1741,1.7868,1.9419,6.9028,0.3171,0.1054,0.1108,3200,0.5537,200,16,5
syn_blobs_small,anne,Voronoi (aNNE),ik,2026-05-25 17:15:26,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,0.4082,0.2605,0.3033,0.972,0.1162,1.0288,1.0288,3200,1.0,200,16,5
syn_blobs_small,anne,Voronoi (aNNE),idk,2026-05-25 17:15:27,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,0.3303,0.2865,0.356,0.9728,0.0929,1.028,1.028,3200,1.0,200,16,5
wine,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:15:41,178,13,3,spherical,uniform,low,small,1,sklearn,0.8604,0.0159,0.8351,0.882,0.8331,0.014,3.2642,1.399,1.2469,5.91,0.5087,0.1456,0.141,3200,1.0302,200,16,5
wine,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:15:41,178,13,3,spherical,uniform,low,small,1,sklearn,0.8675,0.014,0.8517,0.8838,0.8417,0.0129,3.2804,1.3964,1.2689,5.9457,0.5246,0.1459,0.1416,3200,1.0302,200,16,5
syn_blobs_small,inne,Hypersphere (iNNE),ik,2026-05-25 17:16:00,300,2,3,spherical,uniform,low,small,1,sklearn_gen,0.7227,0.2318,0.4484,1.0,0.8147,0.153,3.0922,1.8511,1.6836,6.6269,0.369,0.1091,0.1229,3200,0.6136,200,16,5
syn_blobs_small,inne,Hypersphere (iNNE),idk,2026-05-25 17:16:00,300,2,3,spherical,uniform,low,small,1,sklearn_gen,0.6899,0.1583,0.5693,1.0,0.7814,0.1105,3.0794,1.8224,1.6502,6.552,0.3251,0.1053,0.1193,3200,0.6136,200,16,5
syn_blobs_small,iforest,Axis-parallel (iForest),ik,2026-05-25 17:16:07,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,0.9632,0.1739,0.1834,1.3205,0.1379,0.7573,0.7573,16711,1.0,200,256,5
syn_blobs_small,iforest,Axis-parallel (iForest),idk,2026-05-25 17:16:07,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,0.738,0.177,0.2474,1.1624,0.0819,0.8603,0.8603,16711,1.0,200,256,5
syn_blobs_small,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:16:13,300,2,3,spherical,uniform,low,small,1,sklearn_gen,0.998,0.004,0.99,1.0,0.9966,0.0068,3.2188,1.6946,1.5159,6.4293,0.3233,0.1552,0.155,3200,1.0535,200,16,5
syn_blobs_small,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:16:14,300,2,3,spherical,uniform,low,small,1,sklearn_gen,0.998,0.004,0.99,1.0,0.9966,0.0068,3.3126,1.7066,1.5039,6.5231,0.3266,0.153,0.1528,3200,1.0535,200,16,5
syn_blobs_medium,anne,Voronoi (aNNE),ik,2026-05-25 17:16:24,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9466,0.0018,0.9452,0.9497,0.9432,0.0013,0.3403,0.3235,0.3578,1.0216,0.1078,0.9265,0.9232,3200,1.0,200,16,5
syn_blobs_medium,anne,Voronoi (aNNE),idk,2026-05-25 17:16:25,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9466,0.0018,0.9452,0.9497,0.9432,0.0013,0.3231,0.2734,0.2778,0.8743,0.0663,1.0827,1.0788,3200,1.0,200,16,5
iris,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:16:35,150,4,3,spherical,uniform,low,small,1,sklearn,0.7432,0.019,0.7074,0.7592,0.7928,0.0129,12.8871,5.0799,5.4157,23.3827,1.776,0.0318,0.0339,11779,1.0,200,256,5
iris,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:16:35,150,4,3,spherical,uniform,low,small,1,sklearn,0.7432,0.019,0.7074,0.7592,0.7928,0.0129,12.85,5.2052,5.3295,23.3847,1.8933,0.0318,0.0339,11779,1.0,200,256,5
wine,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:17:17,178,13,3,spherical,uniform,low,small,1,sklearn,0.8971,0.0431,0.8152,0.931,0.8682,0.0389,14.1486,4.3342,5.0388,23.5216,1.3611,0.0381,0.0369,11576,1.0,200,256,5
wine,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:17:18,178,13,3,spherical,uniform,low,small,1,sklearn,0.8971,0.0431,0.8152,0.931,0.8682,0.0389,14.1924,4.4881,5.1386,23.8191,1.4399,0.0377,0.0364,11576,1.0,200,256,5
syn_blobs_medium,inne,Hypersphere (iNNE),ik,2026-05-25 17:17:22,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.943,0.0068,0.9299,0.9497,0.941,0.0043,3.9981,3.0124,3.3324,10.3429,0.5897,0.0912,0.091,3200,0.6385,200,16,5
syn_blobs_medium,inne,Hypersphere (iNNE),idk,2026-05-25 17:17:24,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9426,0.0067,0.9299,0.9497,0.9407,0.0042,4.2146,3.1664,2.9182,10.2992,0.7717,0.0915,0.0913,3200,0.6385,200,16,5
syn_blobs_medium,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:17:28,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9458,0.0104,0.9257,0.9545,0.9437,0.0067,3.8596,2.737,2.7148,9.3114,0.487,0.1016,0.1013,3200,1.0195,200,16,5
syn_blobs_medium,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:17:28,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9458,0.0104,0.9257,0.9545,0.9437,0.0067,3.8317,2.756,2.6729,9.2607,0.6563,0.1021,0.1019,3200,1.0195,200,16,5
syn_elongated_small,anne,Voronoi (aNNE),ik,2026-05-25 17:17:31,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.99,0.0,0.99,0.99,0.983,0.0,0.2342,0.1179,0.13,0.4821,0.0132,2.0535,2.039,3200,1.0,200,16,5
syn_elongated_small,anne,Voronoi (aNNE),idk,2026-05-25 17:17:32,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.99,0.0,0.99,0.99,0.983,0.0,0.1634,0.1122,0.1647,0.4402,0.0171,2.2488,2.2329,3200,1.0,200,16,5
syn_blobs_medium,iforest,Axis-parallel (iForest),ik,2026-05-25 17:17:39,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9353,0.0099,0.9194,0.9494,0.9355,0.0054,1.6544,0.6681,0.6742,2.9968,0.2195,0.3121,0.3122,16965,1.0,200,256,5
syn_blobs_medium,iforest,Axis-parallel (iForest),idk,2026-05-25 17:17:40,1000,2,5,spherical,uniform,low,medium,1,sklearn_gen,0.9353,0.0099,0.9194,0.9494,0.9355,0.0054,1.4233,0.5936,0.6228,2.6396,0.2519,0.3543,0.3544,16965,1.0,200,256,5
syn_elongated_small,inne,Hypersphere (iNNE),ik,2026-05-25 17:17:59,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,2.4672,1.5581,1.5091,5.5344,0.1746,0.1807,0.1807,3200,0.6126,200,16,5
syn_elongated_small,inne,Hypersphere (iNNE),idk,2026-05-25 17:18:00,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,2.5816,1.5784,1.421,5.581,0.3474,0.1792,0.1792,3200,0.6126,200,16,5
syn_elongated_small,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:18:05,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.996,0.0049,0.99,1.0,0.9932,0.0083,2.8162,1.1697,1.1795,5.1654,0.4715,0.1928,0.1923,3200,1.0495,200,16,5
syn_elongated_small,iforest,Axis-parallel (iForest),ik,2026-05-25 17:18:05,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.99,0.0,0.99,0.99,0.983,0.0,0.8108,0.1585,0.1686,1.1379,0.0573,0.87,0.8639,16216,1.0,200,256,5
syn_elongated_small,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:18:06,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.994,0.0049,0.99,1.0,0.9898,0.0083,2.6707,1.1368,1.219,5.0265,0.3262,0.1977,0.1969,3200,1.0495,200,16,5
syn_elongated_small,iforest,Axis-parallel (iForest),idk,2026-05-25 17:18:07,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.99,0.0,0.99,0.99,0.983,0.0,0.8575,0.1646,0.1744,1.1966,0.1557,0.8274,0.8215,16216,1.0,200,256,5
syn_elongated_medium,anne,Voronoi (aNNE),ik,2026-05-25 17:18:16,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.7939,0.0098,0.7775,0.8049,0.8123,0.0075,0.3457,0.3155,0.3889,1.0501,0.1144,0.7561,0.7735,3200,1.0,200,16,5
syn_elongated_medium,anne,Voronoi (aNNE),idk,2026-05-25 17:18:16,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.7939,0.0098,0.7775,0.8049,0.8123,0.0075,0.3096,0.2415,0.3023,0.8534,0.0705,0.9303,0.9519,3200,1.0,200,16,5
syn_blobs_small,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:18:32,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,17.1314,5.6256,5.9881,28.745,1.565,0.0348,0.0348,16221,1.0,200,256,5
syn_blobs_small,sciforest,Random hyperplane (SCiForest),idk,2026-05-25 17:18:32,300,2,3,spherical,uniform,low,small,1,sklearn_gen,1.0,0.0,1.0,1.0,1.0,0.0,17.0085,5.6813,5.9904,28.6803,1.6158,0.0349,0.0349,16221,1.0,200,256,5
syn_elongated_medium,inne,Hypersphere (iNNE),ik,2026-05-25 17:19:02,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.8022,0.0072,0.793,0.8134,0.8283,0.0058,3.2088,2.3622,2.494,8.0649,0.4086,0.0995,0.1027,3200,0.6067,200,16,5
syn_elongated_medium,inne,Hypersphere (iNNE),idk,2026-05-25 17:19:03,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.8025,0.0068,0.7947,0.8134,0.8283,0.0057,3.4206,2.2947,2.4854,8.2007,0.5853,0.0979,0.101,3200,0.6067,200,16,5
syn_elongated_medium,inne-overlapping,Hypersphere (iNNE) Overlapping,ik,2026-05-25 17:19:13,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.8252,0.0101,0.8125,0.8368,0.8242,0.009,3.2657,1.8786,2.1344,7.2787,0.4554,0.1134,0.1132,3200,1.0338,200,16,5
syn_elongated_medium,inne-overlapping,Hypersphere (iNNE) Overlapping,idk,2026-05-25 17:19:13,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.8262,0.0074,0.8141,0.8351,0.8243,0.0073,3.2673,1.862,2.1324,7.2617,0.461,0.1138,0.1135,3200,1.0338,200,16,5
syn_elongated_medium,iforest,Axis-parallel (iForest),ik,2026-05-25 17:19:18,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.7113,0.012,0.6947,0.7301,0.782,0.005,1.0574,0.6622,0.5414,2.261,0.2611,0.3146,0.3459,15678,1.0,200,256,5
syn_elongated_medium,iforest,Axis-parallel (iForest),idk,2026-05-25 17:19:19,1000,2,4,elliptical,uniform,low,medium,2,sklearn_gen,0.7113,0.012,0.6947,0.7301,0.782,0.005,1.0119,0.4669,0.6077,2.0865,0.1868,0.3409,0.3748,15678,1.0,200,256,5
vehicle,anne,Voronoi (aNNE),ik,2026-05-25 17:19:27,846,18,5,elliptical,uniform,mid,medium,2,uci,0.0874,0.0087,0.0749,0.0982,0.1207,0.0054,0.289,0.2416,0.4,0.9306,0.0314,0.094,0.1297,3200,1.0,200,16,5
vehicle,anne,Voronoi (aNNE),idk,2026-05-25 17:19:27,846,18,5,elliptical,uniform,mid,medium,2,uci,0.0874,0.0087,0.0749,0.0982,0.1207,0.0054,0.3184,0.2233,0.2959,0.8376,0.0445,0.1044,0.1441,3200,1.0,200,16,5
vehicle,inne,Hypersphere (iNNE),ik,2026-05-25 17:19:51,846,18,5,elliptical,uniform,mid,medium,2,uci,0.1094,0.0039,0.1034,0.1142,0.1729,0.0041,2.023,1.1857,1.1179,4.3265,0.3274,0.0253,0.04,3200,0.5695,200,16,5
vehicle,inne,Hypersphere (iNNE),idk,2026-05-25 17:19:51,846,18,5,elliptical,uniform,mid,medium,2,uci,0.1103,0.0031,0.1066,0.1153,0.1746,0.0026,1.9829,1.1608,1.0492,4.1929,0.256,0.0263,0.0416,3200,0.5695,200,16,5
syn_elongated_small,sciforest,Random hyperplane (SCiForest),ik,2026-05-25 17:19:54,300,2,3,elliptical,uniform,low,small,2,sklearn_gen,0.9723,0.0156,0.9509,0.99,0.9626,0.0178,13.2446,4.1974,4.2741,21.7162,1.1734,0.0448,0.0443,15431,1.0,200,256,5
